year,province,amount_per hundrend HHs
2015,Beijing,160.8267
2016,Beijing,166.3499
2017,Beijing,169.7873
2018,Beijing,188.6798
2019,Beijing,192.34
2020,Beijing,193.4
2015,Tianjin,131.2746
2016,Tianjin,140.6299
2017,Tianjin,145.2918
2018,Tianjin,156.6274
2019,Tianjin,166.8618
2020,Tianjin,165.7
2015,Hebei,117.9051
2016,Hebei,123.7667
2017,Hebei,126.179
2018,Hebei,126.3467
2019,Hebei,131.77
2020,Hebei,134.7
2015,Shanxi,38.1013
2016,Shanxi,39.5877
2017,Shanxi,41.8883
2018,Shanxi,49.3217
2019,Shanxi,50.7072
2020,Shanxi,50.6
2015,Inner Mongolia,12.1404
2016,Inner Mongolia,12.7801
2017,Inner Mongolia,13.8536
2018,Inner Mongolia,20.7009
2019,Inner Mongolia,21.5859
2020,Inner Mongolia,22.2
2015,Liaoning,30.5449
2016,Liaoning,35.2516
2017,Liaoning,39.3033
2018,Liaoning,48.7068
2019,Liaoning,57.9577
2020,Liaoning,58.4
2015,Jilin,10.3429
2016,Jilin,11.6382
2017,Jilin,12.7214
2018,Jilin,18.0588
2019,Jilin,22.6836
2020,Jilin,23.5
2015,Heilongjiang,9.7812
2016,Heilongjiang,10.2238
2017,Heilongjiang,11.2927
2018,Heilongjiang,13.6921
2019,Heilongjiang,14.01
2020,Heilongjiang,15
2015,Shanghai,190.8712
2016,Shanghai,205.2319
2017,Shanghai,210.2053
2018,Shanghai,206.9653
2019,Shanghai,213.3814
2020,Shanghai,213.9
2015,Jiangsu,194.2871
2016,Jiangsu,205.9553
2017,Jiangsu,211.06
2018,Jiangsu,219.6784
2019,Jiangsu,226.2938
2020,Jiangsu,227.6
2015,Zhejiang,185.0114
2016,Zhejiang,199.0106
2017,Zhejiang,206.0349
2018,Zhejiang,220.5488
2019,Zhejiang,220.5923
2020,Zhejiang,222.5
2015,Anhui,144.3921
2016,Anhui,156.0209
2017,Anhui,164.6169
2018,Anhui,175.3537
2019,Anhui,185.3811
2020,Anhui,188
2015,Fujian,157.2138
2016,Fujian,165.5353
2017,Fujian,171.064
2018,Fujian,175.9171
2019,Fujian,193.465
2020,Fujian,194.1
2015,Jiangxi,128.1291
2016,Jiangxi,134.4402
2017,Jiangxi,141.872
2018,Jiangxi,151.7771
2019,Jiangxi,157.4261
2020,Jiangxi,158.2
2015,Shandong,109.4144
2016,Shandong,121.6067
2017,Shandong,128.1079
2018,Shandong,145.3491
2019,Shandong,149.5972
2020,Shandong,151.3
2015,Henan,135.7118
2016,Henan,155.1082
2017,Henan,161.4086
2018,Henan,176.7126
2019,Henan,182.6951
2020,Henan,183.7
2015,Hubei,128.4299
2016,Hubei,139.6167
2017,Hubei,141.9026
2018,Hubei,166.1512
2019,Hubei,168.3857
2020,Hubei,169.9
2015,Hunan,140.5161
2016,Hunan,154.9693
2017,Hunan,159.7627
2018,Hunan,179.9617
2019,Hunan,184.9809
2020,Hunan,182.8
2015,Guangdong,144.2628
2016,Guangdong,155.9679
2017,Guangdong,164.8817
2018,Guangdong,202.3906
2019,Guangdong,212.1075
2020,Guangdong,213.9
2015,Guangxi,121.1327
2016,Guangxi,128.5675
2017,Guangxi,133.8424
2018,Guangxi,158.4911
2019,Guangxi,170.0297
2020,Guangxi,177
2015,Hainan,97.5699
2016,Hainan,120.3831
2017,Hainan,126.5222
2018,Hainan,151.9794
2019,Hainan,168.3511
2020,Hainan,170.1
2015,Chongqing,170.0958
2016,Chongqing,181.1369
2017,Chongqing,183.9034
2018,Chongqing,209.4111
2019,Chongqing,218.4837
2020,Chongqing,220.7
2015,Sichuan,108.2205
2016,Sichuan,122.6918
2017,Sichuan,130.4455
2018,Sichuan,140.1034
2019,Sichuan,154.154
2020,Sichuan,156.3
2015,Guizhou,27.8121
2016,Guizhou,31.1179
2017,Guizhou,34.4825
2018,Guizhou,34.5123
2019,Guizhou,37.232
2020,Guizhou,38.4
2015,Yunan,3.6238
2016,Yunan,3.8964
2017,Yunan,4.4552
2018,Yunan,7.1551
2019,Yunan,8.1104
2020,Yunan,10.3
2015,Tibet,9.2921
2016,Tibet,9.4277
2017,Tibet,10.057
2018,Tibet,14.4818
2019,Tibet,12.9263
2020,Tibet,12.2
2015,Shaanxi,88.4128
2016,Shaanxi,93.1454
2017,Shaanxi,98.0728
2018,Shaanxi,115.1438
2019,Shaanxi,120.6766
2020,Shaanxi,123.3
2015,Gansu,10.545
2016,Gansu,11.6654
2017,Gansu,12.657
2018,Gansu,13.7932
2019,Gansu,15.8584
2020,Gansu,17.4
2015,Qinghai,2.2481
2016,Qinghai,1.2666
2017,Qinghai,1.3604
2018,Qinghai,1.7421
2019,Qinghai,1.2938
2020,Qinghai,1.1
2015,Ningxia,13.1015
2016,Ningxia,14.0025
2017,Ningxia,14.8952
2018,Ningxia,19.9765
2019,Ningxia,21.8852
2020,Ningxia,22
2015,Xinjiang,16.5065
2016,Xinjiang,24.1984
2017,Xinjiang,26.2145
2018,Xinjiang,29.7085
2019,Xinjiang,32.2338
2020,Xinjiang,31.8
